prices_per_night,ratings,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,log_num_reviews,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
60.0,5.0,0.0,1.0,2.0,1.0,1.0,840.0,720.0,10.0,1.6094379124341003,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
52.0,0.0,50.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
90.0,4.65,70.0,1.0,4.0,1.0,4.0,900.0,660.0,9.0,4.584967478670572,3.0,3.0,2.0,1.0,12.0,8.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0
103.0,0.0,0.0,2.0,2.0,1.0,4.0,660.0,660.0,13.0,1.0986122886681098,0.0,1.0,2.0,0.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,1.0,1.3333333333333333,0.5,2.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
32.0,4.51,0.0,1.0,1.0,0.5,1.0,780.0,660.0,11.0,4.406719247264253,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
63.0,4.43,0.0,1.0,1.0,1.0,2.0,900.0,720.0,9.0,3.1780538303479458,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,4.78,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,4.762173934797756,1.0,1.0,1.0,0.0,8.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
36.0,4.53,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,2.772588722239781,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
128.0,0.0,60.0,3.0,6.0,2.0,6.0,900.0,660.0,9.0,0.0,0.0,4.0,2.0,0.0,15.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24.0,4.25,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,4.727387818712341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0
111.0,4.8,50.0,2.0,3.0,2.0,5.0,900.0,660.0,9.0,6.352629396319567,2.0,7.0,2.0,0.0,15.0,10.0,2.0,2.0,2.0,7.0,0.0,2.0,4.0,0.0,0.0
55.0,4.46,25.0,1.0,1.0,1.0,3.0,900.0,660.0,9.0,3.295836866004329,0.0,4.0,2.0,2.0,7.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
45.0,4.79,0.0,1.0,1.0,0.5,1.0,660.0,660.0,13.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
61.0,5.0,40.0,1.0,1.0,0.5,2.0,660.0,660.0,13.0,1.3862943611198906,0.0,6.0,2.0,0.0,14.0,8.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0
34.0,4.43,12.333333333333334,1.0,1.0,0.5,1.0,900.0,660.0,9.0,5.968707559985366,4.0,5.0,2.0,2.0,9.0,9.0,3.0,3.0,3.0,5.0,0.0,4.0,5.0,1.0,0.0
48.0,0.0,0.0,1.0,1.0,0.6666666666666666,2.0,900.0,620.0,9.0,1.0986122886681098,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
82.0,4.69,0.0,1.0,2.0,1.0,2.0,860.0,660.0,9.666666666666666,5.081404364984463,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
43.0,0.0,35.0,1.0,3.0,0.5,4.0,900.0,660.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
108.0,4.59,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,5.37989735354046,2.0,7.0,2.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0
146.0,0.0,0.0,3.0,3.0,2.0,6.0,840.0,720.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
125.0,4.66,0.0,3.0,3.0,1.0,5.0,900.0,660.0,9.0,5.2574953720277815,1.0,3.0,2.0,0.0,10.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
169.0,4.83,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,5.7430031878094825,1.0,4.0,2.0,0.0,12.0,7.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0
99.0,4.61,65.0,2.0,3.0,1.0,4.0,960.0,720.0,8.0,6.208590026096629,1.0,6.0,2.0,3.0,13.0,10.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0
66.0,4.71,0.0,1.0,2.0,1.0,2.0,840.0,660.0,10.0,5.676753802268282,2.0,6.0,2.0,1.0,1.0,8.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
101.0,4.49,0.0,1.0,2.0,1.0,2.0,900.0,660.0,9.0,7.094234845924755,1.0,4.0,2.0,1.0,0.0,7.0,2.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0
94.0,4.34,110.0,4.0,7.0,2.0,5.0,900.0,660.0,9.0,4.700480365792417,2.0,2.0,2.0,1.0,11.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
51.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
104.0,4.92,65.0,2.0,2.0,1.0,4.0,900.0,600.0,9.0,3.6375861597263857,1.0,4.0,2.0,0.0,9.0,5.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0
106.0,0.0,60.0,3.0,3.0,2.0,4.0,960.0,660.0,8.0,1.0986122886681098,2.0,3.0,2.0,0.0,10.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0
62.0,0.0,20.0,1.0,1.0,0.5,1.0,780.0,660.0,11.0,1.0986122886681098,2.0,5.0,2.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0
100.0,4.63,60.0,3.0,3.0,2.0,5.0,900.0,660.0,9.0,2.1972245773362196,1.0,6.0,3.0,0.0,13.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,4.8,50.0,3.0,3.0,2.0,5.0,900.0,660.0,9.0,6.352629396319567,3.0,7.0,2.0,1.0,16.0,10.0,2.0,0.0,2.0,8.0,0.0,2.0,2.0,0.0,0.0
107.0,0.0,50.0,1.0,2.0,1.0,3.0,900.0,660.0,9.0,0.0,1.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
50.0,4.69,20.0,1.0,2.6666666666666665,0.5,2.0,780.0,660.0,11.0,4.477336814478207,0.0,5.0,2.0,2.0,14.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0
87.0,0.0,0.0,1.0,1.0,1.0,3.0,900.0,660.0,9.0,0.0,0.0,2.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
102.0,4.73,80.0,3.0,3.0,1.0,4.0,920.0,720.0,8.666666666666666,4.997212273764115,2.0,3.0,2.0,1.0,13.0,8.0,1.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0
35.0,4.31,30.0,1.0,1.0,0.5,2.0,840.0,600.0,10.0,5.043425116919247,2.0,4.0,1.0,4.0,12.0,7.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0
40.0,4.83,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,1.9459101490553132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
89.0,4.74,0.0,2.0,5.0,1.0,4.0,840.0,600.0,10.0,6.459904454377535,3.0,5.0,3.0,1.0,12.0,9.0,3.0,3.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0
76.0,4.61,50.0,2.0,2.0,1.0,3.0,840.0,600.0,10.0,6.154858094016418,1.0,3.0,4.0,1.0,12.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
